Servidor,Jogadores Online,Versão,Origem,Observação
absoluthero.servegame.com,192,8.6,Socket,
alastera.com,171,8.6,Socket,
amera.fun,153,8.6,Socket,
ambrussouls.com,106,8.6,Socket,
amirots.com,29,8.6,Socket,
3dragons.games,0,,Erro,
acidsot.com,0,,Erro,
antica-global.net,0,,Erro,
arcanis-ots.net,0,,Erro,
arenaot.com.br,0,,Erro,
